CS340  01 Programming Languages,T Hostetler,MWF,02:00 PM,02:50 PM,Stuart Hall,,1.00
Dance,,,,,,,
DAN  131  01 Dance-Ballet I,C Rezabek,TR,12:30 PM,01:50 PM,Mills Theater,,0.20
Meets first 7 weeks,,,,,,,
DAN  132  01 Dance-Ballet II,C Rezabek,TR,12:30 PM,01:50 PM,Mills Theater,,0.20
Meets second 7 weeks,,,,,,,
Data Science,,,,,,,
DS100  01 Introduction to Data Science,M Stobb,MWF,09:00 AM,09:50 AM,Stuart Hall,,1.00
DS230  01 Data-Centric Computing,S Hughes,MWF,10:00 AM,10:50 AM,Stuart Hall,,1.00
DS315  01 Machine Learning,M Stobb,TR,11:00 AM,12:20 PM,Stuart Hall,,1.00
Economics,,,,,,,
ECO  175  01 Principles of Macroeconomics,R Eichhorn,MWF,08:00 AM,08:50 AM,Stuart Hall,,1.00
ECO  175  02 Principles of Macroeconomics,R Eichhorn,MWF,09:00 AM,09:50 AM,Stuart Hall,,1.00
ECO  175  03 Principles of Macroeconomics,D Westberg,MWF,12:00 PM,12:50 PM,Stuart Hall,,1.00
ECO  215  01 Principles of Microeconomics,R Baranowski,MWF,09:00 AM,09:50 AM,Stuart Hall,,1.00
ECO  215  02 Principles of Microeconomics,R Baranowski,MWF,10:00 AM,10:50 AM,Stuart Hall,,1.00
ECO  225  01 Money & Banking,R Baranowski,MWF,12:00 PM,12:50 PM,Stuart Hall,,1.00
ECO  237  01 Labor Economics,D Westberg,MWF,10:00 AM,10:50 AM,Stuart Hall,,1.00
ECO  315  01 Intermediate Macroeconomic Theory,R Eichhorn,TR,08:00 AM,09:20 AM,Stuart Hall,,1.00
ECO  336  01 Divergent Economic Growth,R Eichhorn,,00:00 AM,00:00 AM,Arranged,,A1.00
ECO  345  01 Intermediate Microeconomics,D Westberg,,00:00 AM,00:00 AM,Arranged,,A1.00
ECO  375  01W Econometrics,R Eichhorn,TR,09:30 AM,10:50 AM,Stuart Hall,,1.00
ECO  395  01 History of Economic Thought,D Westberg,,00:00 AM,00:00 AM,Arranged,,A1.00
ECO  436  01 Economic Development,D Westberg,TR,12:30 PM,01:50 PM,Stuart Hall,,1.00
ECO  444  01 Ind Study-Economics,D Westberg,,00:00 AM,00:00 AM,Arranged,,A1.00
ECO  457  01 US Econ History,R Baranowski,TR,11:00 AM,12:20 PM,Peterson Hall,,1.00
Course Number/Title,,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Education,,,,,,,
EDU  105  01W Educational Foundations,,S Haynes-Moore,MWF,10:00 AM,10:50 AM,Stuart Hall,41.00
EDU  105  02W Educational Foundations,,N Hayes,MWF,02:00 PM,02:50 PM,Stuart Hall,41.00
EDU  117  01 Exceptional Learners,,A Russell,MWF,01:00 PM,01:50 PM,Stuart Hall,41.00
EDU  117  02 Exceptional Learners,,J Hanson,MW,06:00 PM,07:20 PM,Hickok Hall,1.00
EDU  187  01W Human Relations,,B Christoffersen,TR,02:00 PM,03:20 PM,Stuart Hall,1.00
EDU  187  02W Human Relations,,S Haynes-Moore,MWF,11:00 AM,11:50 AM,Stuart Hall,41.00
EDU  195  01 Educ Psychology & Development,,C Johnson,MWF,08:00 AM,08:50 AM,Hickok Hall,1.00
EDU  215  01W Practicum in Education,,S Kress,MW,02:00 PM,03:20 PM,Stuart Hall,41.00
To register: Please see B. Kigin SH 409A,,,,,,,
EDU  219  01 Educational Technology Lab,,L Wiebenga,T,02:00 PM,03:20 PM,Stuart Hall,0.00
To register: Please see B. Kigin SH 409A,,,,,,,
EDU  220  01W Professional Writing for Teachers,,N Hayes,MWF,01:00 PM,01:50 PM,Stuart Hall,1.00
EDU  260  01W Content Reading,,N Hayes,MWF,09:00 AM,09:50 AM,Stuart Hall,41.00
EDU  270  01W Literature K-12,,N Hayes,MWF,11:00 AM,11:50 AM,Stuart Hall,41.00
EDU  275  01 Math Comprehension for Teaching,,M Hanson,TR,11:00 AM,12:20 PM,Athletics and Recrea 1.00,
EDU  284  01 Topics: Mindfulness and Learning,,N Hayes,M,06:00 PM,07:20 PM,Stuart Hall,40.50
EDU  300  01 Expressive Methods,,S Kress,TR,06:00 PM,07:20 PM,Stuart Hall,40.50
EDU  305  01W Methods of Elementary Science,,S Kress,TR,02:00 PM,03:20 PM,Stuart Hall,41.00
"",,S Kress,M,04:00 PM,06:00 PM,Stuart Hall,4
EDU  310  01W Meth Secondary Business Educ,,K Hynek,W,06:00 PM,08:40 PM,Stuart Hall,1.00
To register: Please see B. Kigin SH 409A,,,,,,,
EDU  311  01W Meth Secondary Language Arts,,S Haynes-Moore,T,06:00 PM,08:40 PM,Stuart Hall,1.00
To register: Please see Betsy Kigin,,,,,,,
EDU  312  01W Meth Secondary Social Studies,,S Neilly,W,06:00 PM,08:40 PM,Stuart Hall,41.00
To register: Please see B. Kigin SH 409A,,,,,,,
EDU  313  01W Methods Secondary Mathematics,,M Hanson,W,06:00 PM,08:40 PM,Stuart Hall,1.00
To register: Please see B. Kigin SH 409A,,,,,,,
EDU  320  01W Methods of Secondary Science,,Staff,W,06:00 PM,08:40 PM,Stuart Hall,1.00
To register: Please see B. Kigin SH 409A,,,,,,,
EDU  321  01W Meth World Language Instr K-12,,N Hayes,R,06:00 PM,08:40 PM,Stuart Hall,1.00
To register: Please see B. Kigin SH 409A,,,,,,,
EDU  365  01W Methods of Elementary Social Studie,,A Russell,TR,08:00 AM,09:20 AM,Stuart Hall,41.00
"",,A Russell,M,04:00 PM,06:00 PM,Stuart Hall,4
EDU  481  01W Stu Tchg Sec: ART,,A Russell,W,04:00 PM,05:00 PM,Stuart Hall,42.00
EDU  482  01W Stu Tchg Sec: Phys Education,,A Russell,W,04:00 PM,05:00 PM,Stuart Hall,42.00
EDU  483  01W Std Teaching Elem: ART,,A Russell,W,05:00 PM,06:00 PM,Stuart Hall,42.00
EDU  485  01W Std Teaching Elem: Phys Ed,,A Russell,W,05:00 PM,06:00 PM,Stuart Hall,42.00
EDU  489  01W Student Teaching Sr HS,,A Russell,W,04:00 PM,05:00 PM,Stuart Hall,42.00
EDU  490  01W Student Teaching Jr HS,,A Russell,W,05:00 PM,06:00 PM,Stuart Hall,42.00
EDU  491  01W Student Teaching 4-6,,A Russell,W,04:00 PM,05:00 PM,Stuart Hall,42.00
EDU  492  01W Student Teaching K-3,,A Russell,W,05:00 PM,06:00 PM,Stuart Hall,42.00
English,,,,,,,
ENG  101  01W IntroLitStudies: Art of Rdg & Wrtg,,G Hausknecht,MWF,01:00 PM,01:50 PM,Hickok Hall,1.00
ENG  107  01 Exploring Literature:US Pluralism,,P Valderrama,TR,12:30 PM,01:50 PM,Hickok Hall,1.00
ENG  137  01W African American Literature,,L McQueen,TR,09:30 AM,10:50 AM,Hickok Hall,1.00
